,TimeStamp,ReadsAvg,WritesAvg
10007,2016-11-22 15:14:40,58.9281,117.9375
10008,2016-11-22 15:14:42,60.1488,118.3905
10009,2016-11-22 15:14:43,60.5875,119.1392
10010,2016-11-22 15:14:44,58.9413,117.9476
10011,2016-11-22 15:14:45,57.1677,109.5533
10012,2016-11-22 15:14:46,55.678,114.1697
10013,2016-11-22 15:14:47,59.6369,119.4129
10014,2016-11-22 15:14:48,58.9803,118.1767
10015,2016-11-22 15:14:50,55.8696,110.2627
10016,2016-11-22 15:14:51,56.7918,111.8075
10017,2016-11-22 15:14:54,58.6444,122.6457
10018,2016-11-22 15:14:56,55.8424,116.8173
10019,2016-11-22 15:14:57,56.3037,120.2826
10020,2016-11-22 15:14:58,58.9994,115.4054
10021,2016-11-22 15:14:59,59.6411,120.075
10022,2016-11-22 15:15:00,58.8941,111.6904
10023,2016-11-22 15:15:02,58.8516,119.0909
10024,2016-11-22 15:15:03,57.7124,118.8637
10025,2016-11-22 15:15:04,57.131,113.0012
10026,2016-11-22 15:15:06,58.7167,122.0621
10027,2016-11-22 15:15:07,58.1201,116.6681
10028,2016-11-22 15:15:08,56.5719,112.5118
10029,2016-11-22 15:15:09,58.262,112.4675
10030,2016-11-22 15:15:10,57.3976,114.4984
10031,2016-11-22 15:15:14,55.613,113.7013
10032,2016-11-22 15:15:15,60.5718,121.4606
10033,2016-11-22 15:15:16,57.9635,116.5481
10034,2016-11-22 15:15:17,57.7523,120.8546
10035,2016-11-22 15:15:18,58.761,117.2304
10036,2016-11-22 15:15:19,57.8842,117.331
10037,2016-11-22 15:15:20,55.8808,114.7545
10038,2016-11-22 15:15:22,58.6454,118.3978
10039,2016-11-22 15:15:23,58.5965,117.6005
10040,2016-11-22 15:15:25,57.3924,115.1484
10041,2016-11-22 15:15:26,58.5017,122.7505
10042,2016-11-22 15:15:28,57.6388,116.2751
10043,2016-11-22 15:15:31,57.2042,115.0065
10044,2016-11-22 15:15:32,59.2636,116.7086
10045,2016-11-22 15:15:35,59.2194,122.1096
10046,2016-11-22 15:15:36,57.3693,114.7956
10047,2016-11-22 15:15:37,59.3815,118.6363
10048,2016-11-22 15:15:38,59.926,119.5199
10049,2016-11-22 15:15:40,59.7731,123.0894
10050,2016-11-22 15:15:41,55.9184,110.1084
10051,2016-11-22 15:15:43,60.3197,125.5563
10052,2016-11-22 15:15:44,59.4898,120.3265
10053,2016-11-22 15:15:45,57.8999,117.9879
10054,2016-11-22 15:15:46,58.8464,115.1986
10055,2016-11-22 15:15:47,58.1747,120.6799
10056,2016-11-22 15:15:48,58.3461,117.505
10057,2016-11-22 15:15:50,61.3938,121.8714
10058,2016-11-22 15:15:51,58.6271,115.9436
10059,2016-11-22 15:15:52,60.9705,118.7943
10060,2016-11-22 15:15:54,56.4576,117.8223
10061,2016-11-22 15:15:55,58.2062,118.5356
10062,2016-11-22 15:15:56,56.9361,111.652
10063,2016-11-22 15:15:57,60.925,123.0603
10064,2016-11-22 15:16:00,62.09,119.8495
10065,2016-11-22 15:16:03,56.9997,116.7915
10066,2016-11-22 15:16:04,57.6817,117.3041
10067,2016-11-22 15:16:05,60.6995,122.9218
10068,2016-11-22 15:16:06,58.6319,121.8681
10069,2016-11-22 15:16:08,58.0423,113.018
10070,2016-11-22 15:16:09,59.0831,117.4738
10071,2016-11-22 15:16:10,58.8579,119.1735
10072,2016-11-22 15:16:13,57.8913,116.2438
10073,2016-11-22 15:16:14,60.202,118.0117
10074,2016-11-22 15:16:16,58.9249,118.5
10075,2016-11-22 15:16:19,58.3231,116.1641
10076,2016-11-22 15:16:20,57.4048,111.5907
10077,2016-11-22 15:16:21,59.015,116.5777
10078,2016-11-22 15:16:22,58.64,119.9371
10079,2016-11-22 15:16:23,59.7648,118.7378
10080,2016-11-22 15:16:25,57.6068,115.2599
10081,2016-11-22 15:16:26,57.7791,116.5078
10082,2016-11-22 15:16:27,59.8874,121.0456
10083,2016-11-22 15:16:28,58.2418,110.5181
10084,2016-11-22 15:16:29,56.836000000000006,112.0366
10085,2016-11-22 15:16:30,56.8494,115.078
10086,2016-11-22 15:16:32,56.9154,109.8622
10087,2016-11-22 15:16:33,58.0084,113.5666
10088,2016-11-22 15:16:37,59.7023,117.3024
10089,2016-11-22 15:16:38,60.1253,120.7743
10090,2016-11-22 15:16:39,61.2632,127.0949
10091,2016-11-22 15:16:40,57.9017,117.5004
10092,2016-11-22 15:16:42,59.0993,118.4107
10093,2016-11-22 15:16:43,58.9044,121.8763
10094,2016-11-22 15:16:45,58.7578,115.6812
10095,2016-11-22 15:16:46,59.8226,117.4583
10096,2016-11-22 15:16:47,59.0885,119.3542
10097,2016-11-22 15:16:48,59.3991,120.0486
10098,2016-11-22 15:16:49,61.3324,119.5498
10099,2016-11-22 15:16:50,58.5999,117.959
10100,2016-11-22 15:16:51,59.7071,117.6668
10101,2016-11-22 15:16:53,58.1822,114.1366
10102,2016-11-22 15:16:57,59.9174,118.7786
10103,2016-11-22 15:17:00,59.3055,124.5856
10104,2016-11-22 15:17:01,57.0292,113.9181
10105,2016-11-22 15:17:02,57.1376,114.6523
10106,2016-11-22 15:17:03,59.3271,114.1038
10107,2016-11-22 15:17:04,54.8814,114.6626
10108,2016-11-22 15:17:05,61.3929,122.0455
10109,2016-11-22 15:17:06,59.7351,121.4298
10110,2016-11-22 15:17:07,60.5987,119.7711
10111,2016-11-22 15:17:08,56.8059,112.0778
10112,2016-11-22 15:17:09,56.1294,112.9551
10113,2016-11-22 15:17:10,58.2782,114.8338
10114,2016-11-22 15:17:11,62.0885,119.8554
10115,2016-11-22 15:17:12,56.8463,118.1174
10116,2016-11-22 15:17:13,59.1725,116.9096
10117,2016-11-22 15:17:17,54.8989,111.1491
10118,2016-11-22 15:17:18,59.0185,117.8211
10119,2016-11-22 15:17:19,59.92,115.8125
10120,2016-11-22 15:17:20,56.2133,112.2871
10121,2016-11-22 15:17:21,58.5365,115.6391
10122,2016-11-22 15:17:22,55.8946,115.2711
10123,2016-11-22 15:17:23,56.9463,115.2381
10124,2016-11-22 15:17:24,60.5011,125.6664
10125,2016-11-22 15:17:25,59.1839,116.8858
10126,2016-11-22 15:17:26,57.4643,115.8785
10127,2016-11-22 15:17:27,58.5874,122.2589
10128,2016-11-22 15:17:28,59.9956,120.5767
10129,2016-11-22 15:17:29,61.0111,121.1124
10130,2016-11-22 15:17:30,54.9251,114.2891
10131,2016-11-22 15:17:32,60.9971,119.7475
10132,2016-11-22 15:17:35,58.2237,117.3101
10133,2016-11-22 15:17:37,60.2799,117.4868
10134,2016-11-22 15:17:38,55.1644,112.876
10135,2016-11-22 15:17:39,58.5272,113.8144
10136,2016-11-22 15:17:40,60.1076,119.936
10137,2016-11-22 15:17:41,59.1074,121.0706
10138,2016-11-22 15:17:42,57.438,115.0096
10139,2016-11-22 15:17:43,59.1151,118.9588
10140,2016-11-22 15:17:44,58.0287,118.4255
10141,2016-11-22 15:17:47,59.2117,116.9654
10142,2016-11-22 15:17:48,58.0805,117.5202
10143,2016-11-22 15:17:50,61.9048,125.8393
10144,2016-11-22 15:17:52,57.7417,120.0716
10145,2016-11-22 15:17:54,59.0928,114.4216
10146,2016-11-22 15:17:55,60.3127,117.9838
10147,2016-11-22 15:17:57,58.9277,120.1617
10148,2016-11-22 15:17:59,58.1758,115.6207
